time,open,high,low,close
2014-03-28T08:00:00Z,1.66276,1.66304,1.65982,1.66253
2014-03-28T12:00:00Z,1.66253,1.66507,1.66181,1.66355
2014-03-28T16:00:00Z,1.66355,1.66483,1.66296,1.66426
2014-03-28T20:00:00Z,1.66426,1.66467,1.66348,1.66456
2014-03-31T00:00:00Z,1.66456,1.66456,1.66269,1.66284
2014-03-31T04:00:00Z,1.66284,1.66485,1.6627,1.66328
2014-03-31T08:00:00Z,1.66328,1.66552,1.66207,1.66468
2014-03-31T12:00:00Z,1.66468,1.66798,1.66108,1.66726
2014-03-31T16:00:00Z,1.66726,1.66833,1.66673,1.6671
2014-03-31T20:00:00Z,1.6671,1.66717,1.66602,1.66635
2014-04-01T00:00:00Z,1.66635,1.66659,1.66559,1.66652
2014-04-01T04:00:00Z,1.66652,1.6674,1.66587,1.6662
2014-04-01T08:00:00Z,1.6662,1.66734,1.66339,1.66353
2014-04-01T12:00:00Z,1.66353,1.66522,1.66178,1.66373
2014-04-01T16:00:00Z,1.66373,1.66449,1.66262,1.66326
2014-04-01T20:00:00Z,1.66326,1.66329,1.66222,1.66287
2014-04-02T00:00:00Z,1.66287,1.66343,1.66213,1.66237
2014-04-02T04:00:00Z,1.66237,1.66504,1.6622,1.66487
